Simulation,Iterations,Success,Score,Extra Info
1,3,True,1.0,
2,0,True,1.0,
3,1,True,1.0,
4,1,True,1.0,
5,0,True,1.0,
6,2,True,1.0,
7,49,False,0.6000000000000001,
8,1,True,1.0,
9,0,True,1.0,
10,49,False,0.3999999999999999,
11,5,True,1.0,
12,1,True,1.0,
13,0,True,1.0,
14,1,True,1.0,
15,3,True,1.0,
16,3,True,1.0,
17,1,True,1.0,
18,1,True,1.0,
19,1,True,1.0,
20,3,True,1.0,
21,0,True,1.0,
22,4,True,1.0,
23,3,True,1.0,
24,4,True,1.0,
25,49,False,0.6000000000000001,
26,1,True,1.0,
27,1,True,1.0,
28,2,True,1.0,
29,4,True,1.0,
30,49,False,0.6000000000000001,
